# Omega_m     sigma_8     h           
  0.432127    1.150141    0.781457    
  0.287164    0.864556    0.618382    
  0.153712    0.913112    0.720718    
  0.301803    0.674439    0.679103    
  0.396993    1.031727    0.625835    
  0.145826    0.680700    0.774088    
  0.214044    1.104110    0.665498    
  0.468333    0.781171    0.734430    
  0.492477    0.965572    0.660460    
  0.238136    0.603815    0.739575    
  0.121490    1.173853    0.649720    
  0.372703    0.859008    0.750296    
  0.327659    1.072157    0.703275    
  0.179620    0.794958    0.696844    
  0.261500    0.989850    0.792939    
  0.406417    0.740740    0.607186    
  0.419339    1.010708    0.746718    
  0.273677    0.725160    0.653150    
  0.191504    1.050279    0.757067    
  0.340288    0.811568    0.642819    
  0.360917    1.194601    0.689548    
  0.108959    0.843537    0.710432    
  0.225117    0.943509    0.600274    
  0.480203    0.620608    0.799699    
  0.455864    1.121452    0.624158    
  0.200830    0.759732    0.775905    
  0.133100    1.015707    0.684507    
  0.385013    0.700826    0.715575    
  0.314627    0.930345    0.768550    
  0.165791    0.653110    0.631625    
  0.299535    1.133939    0.729277    
  0.445244    0.884865    0.670892    
  0.439443    0.904530    0.646407    
  0.291364    0.664931    0.753620    
  0.174718    1.159688    0.657524    
  0.319669    0.873252    0.742496    
  0.380680    1.095417    0.789224    
  0.126402    0.771628    0.610890    
  0.208283    1.041238    0.700745    
  0.459438    0.689286    0.699388    
  0.485343    1.164102    0.723651    
  0.234142    0.850676    0.676180    
  0.100690    0.973946    0.784769    
  0.355019    0.613681    0.615056    
  0.343764    0.979990    0.668031    
  0.198859    0.732371    0.731887    
  0.267076    1.080495    0.629551    
  0.415104    0.804715    0.770386    
  0.402842    1.060333    0.681964    
  0.254046    0.820771    0.718107    
  0.186317    1.001465    0.620455    
  0.331990    0.714992    0.779622    
  0.367659    0.953673    0.726354    
  0.112561    0.629847    0.673826    
  0.246306    1.185395    0.765224    
  0.498276    0.833480    0.634937    
  0.472567    1.024591    0.760771    
  0.220643    0.711202    0.639105    
  0.138470    1.111034    0.749263    
  0.393515    0.750732    0.650619    
  0.307700    1.142932    0.603599    
  0.161980    0.895277    0.796385    
  0.278138    0.919963    0.692469    
  0.426985    0.644220    0.707497    
  0.428231    1.048915    0.694565    
  0.277089    0.688659    0.705321    
  0.157806    1.089069    0.609216    
  0.312071    0.775652    0.790651    
  0.388365    1.155537    0.737772    
  0.143426    0.879766    0.662201    
  0.222474    0.905029    0.752046    
  0.470541    0.657421    0.647934    
  0.496397    1.084655    0.772008    
  0.248382    0.798228    0.628074    
  0.117763    0.979499    0.736660    
  0.362655    0.739910    0.663403    
  0.336215    0.966278    0.616778    
  0.181898    0.614335    0.783390    
  0.252752    1.170460    0.681051    
  0.403941    0.846679    0.719124    
  0.417180    1.186076    0.633217    
  0.265197    0.825784    0.766604    
  0.193855    0.949631    0.668955    
  0.348965    0.636250    0.730883    
  0.350601    0.994933    0.777997    
  0.104914    0.719198    0.621932    
  0.235241    1.067899    0.713334    
  0.484050    0.820254    0.686589    
  0.458389    0.926506    0.712222    
  0.209529    0.640041    0.687794    
  0.130773    1.135375    0.797961    
  0.376506    0.895823    0.602073    
  0.324626    1.110361    0.655440    
  0.169567    0.758456    0.744684    
  0.289338    1.028643    0.640776    
  0.441275    0.704825    0.759342    
  0.449418    1.098905    0.732954    
  0.295165    0.784050    0.667123    
  0.164545    1.040620    0.769463    
  0.315676    0.678855    0.630609    
  0.383181    0.914828    0.677723    
  0.135126    0.665709    0.722438    
  0.205980    1.147133    0.613852    
  0.450907    0.869925    0.786327    
  0.475002    0.988162    0.611764    
  0.230121    0.749479    0.788117    
  0.110839    1.075193    0.698272    
  0.358842    0.789598    0.701604    
  0.341581    1.179086    0.754970    
  0.190404    0.856138    0.644996    
  0.269452    0.956705    0.741100    
  0.423757    0.605669    0.658884    
  0.411421    0.940686    0.795023    
  0.256299    0.625794    0.604998    
  0.177544    1.196428    0.708906    
  0.329538    0.834699    0.691121    
  0.371604    1.058990    0.638243    
  0.122783    0.809907    0.761889    
  0.242554    1.005394    0.651722    
  0.488252    0.728149    0.748392    
  0.463962    1.125254    0.672271    
  0.218218    0.886535    0.727554    
  0.146876    0.935687    0.636153    
  0.395748    0.650129    0.763679    
  0.303829    1.018559    0.717053    
  0.151880    0.695648    0.682884    
  0.282207    1.119652    0.780532    
  0.437277    0.768580    0.619386    
  0.434897    0.972555    0.712503    
  0.282928    0.610972    0.687322    
  0.151136    1.166810    0.777167    
  0.306233    0.852066    0.622664    
  0.394978    1.079250    0.669786    
  0.149305    0.801859    0.730151    
  0.215862    0.982844    0.634046    
  0.464658    0.733615    0.765872    
  0.490560    1.161812    0.641509    
  0.241712    0.876401    0.758512    
  0.123601    0.901382    0.656172    
  0.369321    0.662809    0.743854    
  0.330332    1.043508    0.797228    
  0.175286    0.692288    0.602903    
  0.258631    1.092416    0.711490    
  0.410555    0.769359    0.688624    
  0.423012    1.114332    0.752778    
  0.271857    0.752712    0.647104    
  0.188024    1.022613    0.738505    
  0.342301    0.707905    0.661370    
  0.356486    0.923407    0.608484    
  0.111534    0.646053    0.791481    
  0.229352    1.141100    0.693833    
  0.477431    0.891834    0.706152    
  0.451725    0.998900    0.680221    
  0.203697    0.713453    0.719856    
  0.137433    1.061871    0.615948    
  0.382339    0.823335    0.784123    
  0.318007    1.182976    0.737489    
  0.163678    0.831793    0.662671    
  0.295958    0.955359    0.772838    
  0.447159    0.632265    0.627341    
  0.443582    1.175685    0.652455    
  0.288496    0.862452    0.747561    
  0.170385    0.962129    0.638975    
  0.322343    0.601983    0.761059    
  0.377299    0.991830    0.708173    
  0.128515    0.744037    0.691952    
  0.211860    1.068861    0.794291    
  0.457522    0.792980    0.605827    
  0.481669    0.911426    0.779702    
  0.235961    0.672020    0.620119    
  0.104170    1.152559    0.716223    
  0.353006    0.866242    0.683616    
  0.348196    1.102570    0.636983    
  0.196284    0.778606    0.762946    
  0.262841    1.034291    0.673100    
  0.417875    0.682238    0.726822    
  0.404759    1.012852    0.613022    
  0.250470    0.699581    0.787059    
  0.184205    1.122695    0.676892    
  0.335372    0.762586    0.723171    
  0.364987    1.131229    0.770292    
  0.116896    0.883474    0.629877    
  0.249176    0.931735    0.733784    
  0.494139    0.655818    0.666390    
  0.469796    1.053281    0.741832    
  0.224879    0.813838    0.658054    
  0.141046    1.008439    0.755703    
  0.389085    0.722159    0.644165    
  0.309715    0.946658    0.697540    
  0.158502    0.622731    0.702433    
  0.276320    1.192479    0.611031    
  0.430660    0.840390    0.788948    
  0.426241    1.077608    0.601007    
  0.280543    0.791281    0.798869    
  0.159600    0.986478    0.690280    
  0.308420    0.747063    0.709602    
  0.391159    0.959267    0.756334    
  0.139165    0.607206    0.643650    
  0.219873    1.177548    0.745986    
  0.474995    0.853575    0.653980    
  0.499094    1.037180    0.728446    
  0.244024    0.677025    0.671625    
  0.114869    1.100735    0.767720    
  0.366817    0.787492    0.632357    
  0.334322    1.143839    0.685337    
  0.185450    0.867949    0.714842    
  0.254839    0.916805    0.624988    
  0.400583    0.669004    0.775173    
  0.412723    0.933415    0.664669    
  0.267797    0.647125    0.735163    
  0.198114    1.128259    0.625005    
  0.346169    0.888807    0.774821    
  0.354250    1.117528    0.721548    
  0.103119    0.765430    0.678370    
  0.231786    1.021710    0.782287    
  0.486039    0.697773    0.617649    
  0.461745    1.197674    0.793671    
  0.207441    0.837556    0.606356    
  0.127220    0.937828    0.704008    
  0.378397    0.624548    0.696013    
  0.320462    1.006786    0.648988    
  0.172459    0.730860    0.751126    
  0.293695    1.056278    0.659727    
  0.438576    0.808514    0.740405    
  0.446062    0.976349    0.764394    
  0.297253    0.737786    0.635670    
  0.168098    1.086781    0.725524    
  0.313785    0.801379    0.674558    
  0.387344    1.167456    0.621286    
  0.132233    0.844408    0.778889    
  0.201623    0.968550    0.682794    
  0.453605    0.617340    0.717375    
  0.479459    1.091779    0.693201    
  0.227522    0.777044    0.706667    
