# Omega_m     sigma_8     h           
  0.830317    0.916902    0.907284    
  0.467911    0.440927    0.091910    
  0.134281    0.521854    0.603592    
  0.504508    0.124065    0.395513    
  0.742483    0.719545    0.129177    
  0.114566    0.134500    0.870439    
  0.285110    0.840183    0.327492    
  0.920832    0.301952    0.672152    
  0.981193    0.609286    0.302298    
  0.345341    0.006358    0.697873    
  0.053726    0.956421    0.248602    
  0.681758    0.431679    0.751479    
  0.569147    0.786928    0.516374    
  0.199050    0.324931    0.484218    
  0.403751    0.649751    0.964693    
  0.766043    0.234566    0.035928    
  0.798347    0.684513    0.733590    
  0.434192    0.208600    0.265750    
  0.228759    0.750464    0.785335    
  0.600719    0.352614    0.214097    
  0.652293    0.991002    0.447738    
  0.022398    0.405896    0.552159    
  0.312792    0.572516    0.001370    
  0.950507    0.034346    0.998496    
  0.889660    0.869087    0.120791    
  0.252074    0.266219    0.879525    
  0.082751    0.692846    0.422533    
  0.712532    0.168043    0.577876    
  0.536567    0.550575    0.842748    
  0.164476    0.088516    0.158126    
  0.498839    0.889898    0.646383    
  0.863109    0.474775    0.354458    
  0.848608    0.507550    0.232036    
  0.478410    0.108219    0.768099    
  0.186795    0.932814    0.287621    
  0.549173    0.455420    0.712481    
  0.701699    0.825695    0.946118    
  0.066006    0.286046    0.054449    
  0.270706    0.735396    0.503723    
  0.898595    0.148810    0.496939    
  0.963358    0.940170    0.618257    
  0.335355    0.417793    0.380901    
  0.001725    0.623243    0.923846    
  0.637548    0.022802    0.075280    
  0.609410    0.633316    0.340156    
  0.247147    0.220619    0.659436    
  0.417690    0.800824    0.147756    
  0.787759    0.341192    0.851928    
  0.757104    0.767221    0.409820    
  0.385115    0.367952    0.590536    
  0.215792    0.669108    0.102277    
  0.579976    0.191654    0.898108    
  0.669148    0.589456    0.631768    
  0.031404    0.049745    0.369128    
  0.365766    0.975658    0.826121    
  0.995690    0.389133    0.174684    
  0.931416    0.707652    0.803853    
  0.301607    0.185336    0.195526    
  0.096174    0.851723    0.746314    
  0.733788    0.251221    0.253094    
  0.519249    0.904887    0.017993    
  0.154950    0.492129    0.981926    
  0.445344    0.533272    0.462343    
  0.817463    0.073701    0.537487    
  0.820578    0.748191    0.472827    
  0.442722    0.147766    0.526605    
  0.144516    0.815115    0.046082    
  0.530177    0.292753    0.953257    
  0.720911    0.925896    0.688862    
  0.108566    0.466277    0.311003    
  0.306186    0.508382    0.760230    
  0.926352    0.095701    0.239668    
  0.990992    0.807759    0.860040    
  0.370956    0.330380    0.140369    
  0.044407    0.632498    0.683299    
  0.656638    0.233184    0.317017    
  0.590536    0.610463    0.083892    
  0.204746    0.023892    0.916951    
  0.381881    0.950766    0.405255    
  0.759852    0.411131    0.595619    
  0.792949    0.976794    0.166083    
  0.412993    0.376307    0.833021    
  0.234637    0.582719    0.344777    
  0.622413    0.060417    0.654417    
  0.626502    0.658221    0.889985    
  0.012286    0.198664    0.109660    
  0.338103    0.779831    0.566669    
  0.960124    0.367089    0.432947    
  0.895973    0.544176    0.561109    
  0.273822    0.066736    0.438972    
  0.076933    0.892291    0.989806    
  0.691265    0.493038    0.010365    
  0.561565    0.850602    0.277201    
  0.173918    0.264093    0.723419    
  0.473345    0.714405    0.203882    
  0.853187    0.174709    0.796711    
  0.873544    0.831508    0.664768    
  0.487912    0.306750    0.335616    
  0.161362    0.734367    0.847313    
  0.539190    0.131425    0.153043    
  0.707952    0.524714    0.388615    
  0.087815    0.109515    0.612192    
  0.264950    0.911889    0.069260    
  0.877267    0.449875    0.931636    
  0.937505    0.646936    0.058821    
  0.325303    0.249132    0.940587    
  0.027096    0.791988    0.491361    
  0.647104    0.315997    0.508018    
  0.603952    0.965143    0.774850    
  0.226010    0.426896    0.224979    
  0.423630    0.594509    0.705500    
  0.809392    0.009449    0.294419    
  0.778554    0.567810    0.975113    
  0.390749    0.042991    0.024989    
  0.193861    0.994046    0.544529    
  0.573845    0.391165    0.455606    
  0.679009    0.764983    0.191215    
  0.056958    0.349846    0.809446    
  0.356386    0.675657    0.258610    
  0.970631    0.213582    0.741958    
  0.909905    0.875424    0.361353    
  0.295545    0.477559    0.637772    
  0.117189    0.559478    0.180765    
  0.739369    0.083548    0.818393    
  0.509572    0.697598    0.585264    
  0.129701    0.159413    0.414420    
  0.455518    0.866087    0.902662    
  0.843193    0.280966    0.096928    
  0.837243    0.620925    0.562517    
  0.457319    0.018286    0.436611    
  0.127840    0.944683    0.885836    
  0.515584    0.420109    0.113320    
  0.737446    0.798750    0.348929    
  0.123262    0.336432    0.650753    
  0.289655    0.638074    0.170232    
  0.911644    0.222691    0.829361    
  0.976399    0.936353    0.207545    
  0.354280    0.460668    0.792558    
  0.059003    0.502304    0.280862    
  0.673302    0.104682    0.719271    
  0.575829    0.739179    0.986142    
  0.188215    0.153813    0.014517    
  0.396577    0.820693    0.557448    
  0.776387    0.282265    0.443121    
  0.807531    0.857219    0.763890    
  0.429642    0.254520    0.235519    
  0.220059    0.704355    0.692527    
  0.605753    0.179842    0.306851    
  0.641214    0.539012    0.042422    
  0.028836    0.076755    0.957406    
  0.323380    0.901834    0.469163    
  0.943578    0.486390    0.530758    
  0.879312    0.664833    0.401107    
  0.259244    0.189088    0.599279    
  0.093583    0.769786    0.079739    
  0.705846    0.372225    0.920614    
  0.545019    0.971627    0.687447    
  0.159195    0.386322    0.313356    
  0.489895    0.592264    0.864192    
  0.867898    0.053775    0.136705    
  0.858955    0.959476    0.262274    
  0.471240    0.437419    0.737805    
  0.175963    0.603548    0.194876    
  0.555858    0.003305    0.805297    
  0.693248    0.653049    0.540865    
  0.071287    0.240062    0.459758    
  0.279650    0.781434    0.971453    
  0.893806    0.321634    0.029137    
  0.954174    0.519044    0.898510    
  0.339903    0.120033    0.100593    
  0.010424    0.920931    0.581115    
  0.632515    0.443736    0.418080    
  0.620491    0.837616    0.184917    
  0.240710    0.297677    0.814729    
  0.407103    0.723819    0.365502    
  0.794689    0.137064    0.634112    
  0.761897    0.688086    0.065111    
  0.376175    0.165969    0.935296    
  0.210514    0.871159    0.384462    
  0.588431    0.270977    0.615855    
  0.662466    0.885382    0.851461    
  0.042240    0.472456    0.149383    
  0.372940    0.552891    0.668921    
  0.985346    0.093030    0.331952    
  0.924491    0.755468    0.709160    
  0.312198    0.356397    0.290271    
  0.102615    0.680732    0.778515    
  0.722712    0.203598    0.220827    
  0.524287    0.577764    0.487701    
  0.146255    0.037885    0.512166    
  0.440799    0.987465    0.055157    
  0.826651    0.400649    0.944739    
  0.815602    0.796013    0.005034    
  0.451357    0.318802    0.994343    
  0.149000    0.644129    0.451399    
  0.521050    0.245105    0.548011    
  0.727898    0.598778    0.781671    
  0.097913    0.012009    0.218250    
  0.299684    0.962580    0.729929    
  0.937489    0.422625    0.269898    
  0.997735    0.728633    0.642231    
  0.360060    0.128376    0.358123    
  0.037172    0.834558    0.838600    
  0.667043    0.312486    0.161786    
  0.585804    0.906399    0.426685    
  0.213624    0.446582    0.574212    
  0.387098    0.528009    0.124939    
  0.751457    0.115007    0.875865    
  0.781809    0.555692    0.323344    
  0.419492    0.078542    0.675813    
  0.245286    0.880431    0.125024    
  0.615423    0.481346    0.874103    
  0.635625    0.862546    0.607740    
  0.007797    0.275716    0.391852    
  0.329464    0.702850    0.911436    
  0.965096    0.162956    0.088246    
  0.904364    0.996123    0.968353    
  0.268601    0.395926    0.031779    
  0.068051    0.563046    0.520039    
  0.695993    0.040913    0.480066    
  0.551156    0.677977    0.244942    
  0.181149    0.218100    0.755628    
  0.484238    0.760464    0.298634    
  0.846440    0.347524    0.702025    
  0.865154    0.627248    0.821969    
  0.493133    0.229643    0.178348    
  0.170245    0.811302    0.627619    
  0.534462    0.335632    0.372788    
  0.718360    0.945760    0.106429    
  0.080584    0.407346    0.894444    
  0.254057    0.614250    0.413969    
  0.884013    0.028900    0.586876    
  0.948646    0.819632    0.466006    
  0.318805    0.295073    0.533334    
  0.016448    0.745869    0.021653    
  0.654095    0.143246    0.977778    
  0.594829    0.513144    0.742650    
  0.230498    0.097777    0.257246    
  0.432268    0.923818    0.800193    
  0.804420    0.461514    0.199674    
  0.771811    0.894852    0.507383    
  0.401646    0.497307    0.492790    
  0.201095    0.539904    0.949782    
  0.563441    0.064173    0.050297    
  0.683741    0.717210    0.283961    
  0.048080    0.178734    0.716629    
  0.351169    0.846575    0.228372    
  0.979025    0.261286    0.772251    
  0.914881    0.579426    0.143607    
  0.286911    0.054927    0.855589    
  0.112705    0.982286    0.336003    
  0.748496    0.379602    0.663099    
  0.502585    0.776782    0.927994    
  0.140353    0.361355    0.071619    
  0.462020    0.663957    0.622409    
  0.832056    0.201715    0.377237    
  0.835234    0.662057    0.176652    
  0.463237    0.199800    0.824184    
  0.137672    0.774883    0.374972    
  0.501849    0.359439    0.625893    
  0.747271    0.984171    0.892264    
  0.109535    0.381471    0.108151    
  0.287639    0.581309    0.588567    
  0.917571    0.056797    0.411758    
  0.978289    0.844676    0.531642    
  0.348487    0.259371    0.468218    
  0.049297    0.715309    0.979958    
  0.686919    0.176820    0.019930    
  0.566130    0.541788    0.255063    
  0.201824    0.066043    0.744375    
  0.398475    0.896737    0.201370    
  0.770587    0.499176    0.797979    
  0.801730    0.925702    0.494970    
  0.431540    0.463383    0.505661    
  0.233668    0.515029    0.048606    
  0.596054    0.099646    0.951992    
  0.654831    0.743969    0.718325    
  0.019129    0.141331    0.281746    
  0.317587    0.817732    0.770067    
  0.945468    0.293158    0.230099    
  0.885238    0.616135    0.857772    
  0.257227    0.030769    0.141881    
  0.079855    0.947644    0.661404    
  0.715671    0.409216    0.338217    
  0.531284    0.809402    0.073312    
  0.169028    0.333717    0.925783    
  0.495814    0.625349    0.375056    
  0.865890    0.227727    0.624132    
  0.845216    0.758427    0.992621    
  0.481068    0.345501    0.007214    
  0.181877    0.675940    0.550222    
  0.553846    0.216078    0.449706    
  0.699171    0.565037    0.216035    
  0.069268    0.042920    0.783366    
  0.265919    0.998114    0.271624    
  0.903627    0.397932    0.727746    
  0.967786    0.700813    0.356396    
  0.330193    0.160934    0.644416    
  0.004628    0.860510    0.164001    
  0.634401    0.273694    0.836904    
  0.614687    0.882423    0.572002    
  0.242604    0.483352    0.428377    
  0.420708    0.557683    0.877587    
  0.784986    0.080549    0.122759    
  0.752194    0.530000    0.678026    
  0.389780    0.117013    0.321648    
  0.212407    0.908389    0.872377    
  0.582627    0.448589    0.127208    
  0.664353    0.832521    0.393575    
  0.036443    0.310465    0.605560    
  0.363230    0.726596    0.086035    
  0.998959    0.126353    0.913128    
  0.934311    0.964571    0.033989    
  0.298467    0.424632    0.966662    
  0.100595    0.600770    0.478344    
  0.728634    0.014015    0.522218    
  0.522275    0.642093    0.757354    
  0.152170    0.243082    0.242757    
  0.450628    0.793976    0.699811    
  0.812912    0.316781    0.300330    
  0.825426    0.985595    0.736113    
  0.437629    0.398765    0.264485    
  0.146983    0.575895    0.807478    
  0.526976    0.036000    0.193153    
  0.725890    0.682647    0.457574    
  0.103832    0.205497    0.542590    
  0.309517    0.757383    0.030833    
  0.923755    0.358297    0.969239    
  0.988035    0.551022    0.098896    
  0.373668    0.091145    0.900725    
  0.039069    0.883513    0.420265    
  0.661242    0.470572    0.579389    
  0.587695    0.873074    0.812549    
  0.207832    0.272877    0.186639    
  0.377392    0.690001    0.635803    
  0.765075    0.167868    0.363291    
  0.795425    0.725733    0.937479    
  0.409784    0.138964    0.063386    
  0.239493    0.839532    0.614160    
  0.617313    0.299576    0.386676    
  0.629825    0.919062    0.151075    
  0.009696    0.441851    0.849250    
  0.343074    0.517174    0.329771    
  0.955398    0.118149    0.670643    
  0.890628    0.783350    0.292450    
  0.278433    0.323533    0.707438    
  0.073969    0.654964    0.219135    
  0.693984    0.241962    0.780725    
  0.557083    0.601678    0.513862    
  0.179133    0.001421    0.485486    
  0.470511    0.957607    0.942555    
  0.856266    0.435534    0.056884    
  0.871076    0.590258    0.434884    
  0.491112    0.051783    0.564701    
  0.156513    0.969620    0.115535    
  0.544282    0.384331    0.884140    
  0.704622    0.771807    0.648543    
  0.090413    0.374263    0.350621    
  0.259972    0.666855    0.831083    
  0.882002    0.191124    0.168052    
  0.942842    0.899827    0.790836    
  0.320698    0.484399    0.209726    
  0.030052    0.537006    0.721482    
  0.644391    0.074764    0.279169    
  0.608442    0.706377    0.012303    
  0.220788    0.181878    0.987837    
  0.426473    0.859241    0.444846    
  0.806307    0.256557    0.555265    
  0.773697    0.822716    0.237729    
  0.395848    0.284301    0.762199    
  0.191384    0.741201    0.305129    
  0.577053    0.155851    0.694706    
  0.674039    0.500297    0.959132    
